n	QS	HS	MS	
5000	0	0	0.015	
10000	0	0	0	
15000	0	0	0.016	
20000	0	0	0	
25000	0	0	0	
30000	0	0	0	
35000	0	0	0.015	
40000	0	0.016	0	
45000	0	0.015	0	
50000	0.016	0	0.015	
55000	0.016	0	0.016	
60000	0	0.016	0	
65000	0	0.016	0.016	
70000	0.015	0.016	0	
75000	0.015	0.016	0	
80000	0.016	0.016	0.015	
85000	0.016	0.023	0	
90000	0.016	0.015	0.016	
95000	0	0.031	0	
100000	0	0.016	0.015	
105000	0.016	0.015	0.016	
110000	0.015	0.031	0.016	
115000	0	0.031	0.016	
120000	0.016	0.031	0.016	
125000	0.016	0.015	0.016	
130000	0.016	0.031	0.016	
135000	0.016	0.031	0.016	
140000	0.016	0.031	0.016	
145000	0.01	0.031	0.016	
150000	0.016	0.031	0.016	
